LGA,aedcSocial,aedcLanguage,aedcComm,aedcEmotion,aedcHealth
Alpine,12,9.6,7.2,9.6,12.8
Ararat,15.3,14.4,8.5,17.8,14.4
Ballarat,8.2,7,6.5,8.9,11
Banyule,6.2,3.2,4.1,5.7,5.7
Bass Coast,7.4,6.1,8.5,8.3,8
Baw Baw,9.4,8.8,6.8,8.3,11.7
Bayside,4.3,2.6,3.2,4.9,3.5
Benalla,11.8,6.7,6.7,11.8,12.6
Boroondara,4.6,1.8,4.7,4.9,4.7
Brimbank,11.2,9.8,12.6,8.2,9.3
Buloke,13.5,5.8,11.5,9.6,21.2
Campaspe,12.6,8.9,8,9.6,11.8
Cardinia,8.8,6,4.5,9.4,7.5
Casey,8.3,7.2,8.2,7.7,7.8
Central Goldfields,18.9,12.6,13.4,11.5,18.1
Colac-Otway,11.1,6.3,7.1,10.7,10.7
Corangamite,10.8,6.9,7.4,9.4,12.8
Darebin,6.7,5.1,6.7,6.8,6.6
East Gippsland,10.9,7.8,7.5,8.8,12.8
Frankston,9.1,5.9,6.1,8.4,7.7
Gannawarra,5.2,7.3,4.2,3.1,5.2
Glen Eira,6.6,1.7,4.5,5.6,5
Glenelg,15.9,6.9,13.8,17.5,14.3
Golden Plains,5.9,7.6,4.3,6,7.6
Greater Bendigo,9.8,7.9,7.9,10.7,9.3
Greater Dandenong,11.1,9.5,13.6,8.7,10.3
Greater Geelong,9.6,6.2,7.4,10.4,8.8
Greater Shepparton,15.4,13.5,15,14.5,16.5
Hepburn,6.2,6.2,3.1,9.3,13.2
Hindmarsh,10.9,3.1,4.7,15.6,14.1
Hobsons Bay,8.6,6.7,7.7,6.7,10.2
Horsham,15.4,8.7,5.8,13.7,11.6
Hume,13.4,11.5,13.7,11.3,13
Indigo,11.3,9.3,10.8,10.8,17
Kingston,6.9,4.1,5,5.3,5.9
Knox,6.8,4.4,5.4,7.2,6.4
Latrobe,16.5,12,13.2,15.1,16.4
Loddon,9,11.9,13.4,9,16.4
Macedon Ranges,6.7,3.3,3.6,7.1,6.9
Manningham,10.1,4.7,7.7,7.5,6.7
Mansfield,3.7,2.4,0,4.9,6.1
Maribyrnong,7.2,3.3,6.9,6.6,5.6
Maroondah,6.1,6,5.6,6.7,7.3
Melbourne,9.2,5.1,11,8.1,7.5
Melton,9.2,7.5,6.8,7.6,7.9
Mildura,8.7,10.5,8,10.6,10.9
Mitchell,8.1,7.8,5.1,8,6.4
Moira,9.2,6.7,8.3,6.9,10.5
Monash,7,3.5,6.5,6.3,5.9
Moonee Valley,7.4,3.6,4.8,6.3,4.7
Moorabool,5.5,2.8,2.8,4.7,4.8
Moreland,10.2,6.3,8.4,8.6,7.7
Mornington Peninsula,8.4,6.4,5.3,7.8,7.8
Mount Alexander,15.2,7.3,8.6,14.6,16.6
Moyne,6.3,5.3,3.2,5.8,5.8
Murrindindi,6.5,5.7,3.3,7.3,9.8
Nillumbik,5.7,1.8,1.3,4.8,4
Northern Grampians,6.7,8.7,3.8,7.7,4.8
Port Phillip,5.3,2.2,3,7.3,4.6
Pyrenees,4.2,8.3,4.2,5.6,12.5
South Gippsland,13.6,7.8,8.4,10.9,10.3
Southern Grampians,10.8,6.6,7.8,11.4,13.2
Stonnington,7.3,2.7,5,9.4,6
Strathbogie,7.1,7.1,0,6,3.6
Surf Coast,5.5,3.6,2.9,5.9,6.2
Swan Hill,14,7.6,7.1,9.3,9.5
Towong,12.1,6.9,5.2,10.3,12.1
Wangaratta,4.3,3.7,2.5,6.5,4
Warrnambool,6.4,8.5,4.7,5.3,6.1
Wellington,9.3,10.8,7.5,10.3,10.4
West Wimmera,10,10,10,12.5,15
Whitehorse,5.6,2.7,4.8,5.4,4.6
Whittlesea,7.9,6.5,7.7,6.9,8.4
Wodonga,9,8,6,11.1,8.2
Wyndham,10.3,7.6,9.7,8.1,8.5
Yarra,9.9,5.4,6.5,8.9,9.4
Yarra Ranges,8.1,6.4,5.6,8.6,7.8
Yarriambiack,9.1,9.1,14.5,9.1,18.2
