DHS AREA, Depression Rate,cyberbullying,electronicMedia,financial,food,healthyFamily,mental_health_access,physicalActivity,psychological,qolSatisfaction,safety,support,trustedAdult
Barwon,0.327,0.2029181,0.6624769,0.0470896,0.04,0.2260402,0.5451229,0.2990556,0.1023574,0.8206202,0.9842841,0.9312228,0.752718
Bayside Peninsula,0.281,0.3252599,0.6066029,0.045726,0.035,0.2167055,0.4971725,0.2417928,0.1826654,0.7512461,0.9625293,0.9419279,0.7194432
Brimbank Melton,0.273,0.3480247,0.6813276,0.0409049,0.062,0.226621,0.4241226,0.2367562,0.179158,0.7591647,0.9728383,0.9147204,0.6911393
Central Highlands,0.252,0.3216653,0.6200077,0.0200974,0.049,0.2533684,0.5085312,0.2402161,0.1754356,0.7785271,0.9782578,0.9239315,0.7530172
Goulburn,0.201,0.3348974,0.609299,0.0478419,0.05,0.2025545,0.544758,0.2832324,0.1674154,0.7555304,0.9554957,0.940423,0.6290059
Hume Moreland,0.312,0.3177006,0.6682175,0.0229393,0.078,0.1718598,0.5663844,0.2817426,0.1207222,0.7522204,0.9675329,0.9169238,0.6881825
Inner Eastern Melbourne,0.267,0.2713266,0.5271223,0.019938,0.014,0.1368125,0.444122,0.2662931,0.1228153,0.8064108,0.9678766,0.936543,0.7427212
Inner Gippsland,0.283,0.3757921,0.6226769,0.0678822,0.047,0.2546684,0.4004116,0.242577,0.2187555,0.7511359,0.9734104,0.9716279,0.6513423
Loddon,0.368,0.2107206,,,0.075,,,,,,,0.9539342,
Mallee,0.248,0.2483307,0.6755667,0.0405241,0.08,0.1831592,0.3503578,0.2468804,0.1299078,0.8309422,0.9445641,0.9643576,0.6368681
North Eastern Melbourne,0.32,0.2995976,0.5757854,0.0274063,0.032,0.2176093,0.3657079,0.2803624,0.135632,0.7753983,0.9565787,0.9574154,0.6835929
Outer Eastern Melbourne,0.352,0.2988542,0.6768783,0.0416911,0.053,0.1901782,0.291986,0.2523215,0.1711553,0.7459157,0.9646614,0.9374248,0.70684
Outer Gippsland,0.353,0.222168,0.5746036,0.0102469,0.062,0.1457972,0.4600459,0.2505342,0.145141,0.7680588,0.973843,0.9095111,0.7050083
Ovens Murray,0.276,0.2505991,0.6127505,0.0251815,0.047,0.2039147,0.1936227,0.3211498,0.1482801,0.8010371,0.9658429,0.9544977,0.7017882
Southern Melbourne,0.282,0.2867603,0.5588168,0.0642998,0.07,0.2218983,0.2496629,0.2117412,0.1856821,0.7272923,0.9623379,0.9423879,0.6669238
Western Melbourne,0.261,0.2874896,0.6602998,0.0269031,0.055,0.1589903,0.4630738,0.2897465,0.150206,0.7542869,0.9591289,0.925104,0.7136658
