LGA,Depression Rate,behavourial,bullying,connectedness,familystress,aedcSocial,aedcLanguage,aedcComm,aedcEmotion,aedcHealth,tsRatio,Absences
Alpine,18.2,0.038,0.202,0.828,0.15178921135986548,12.0,9.6,7.2,9.6,12.8,0.038530265802993,17.408808084247816
Ararat,22.8,,0.15,0.888,0.08606381154964271,15.3,14.4,8.5,17.8,14.4,0.0383949645948072,21.42562787666293
Ballarat,15.6,0.05564878105882551,0.165,0.822,0.11377203667425959,8.2,7.0,6.5,8.9,11.0,0.0489170478927978,18.088397791771246
Banyule,23.5,0.03228954308988578,0.095,0.901,0.11407083022669612,6.2,3.2,4.1,5.7,5.7,0.0591505203485912,15.000926062295973
Bass Coast,22.4,0.044937147662612704,0.165,0.88,0.10920114014467208,7.4,6.1,8.5,8.3,8.0,0.0555113410266613,20.72745628730373
Baw Baw,20.7,0.05869247539054728,0.12,0.871,0.14380355904250802,9.4,8.8,6.8,8.3,11.7,0.0478692594124948,16.525368957194846
Bayside,19.6,0.0211798578551321,0.118,0.866,0.118363039407792,4.3,2.6,3.2,4.9,3.5,0.0482454643689927,15.366710600389045
Benalla,18.6,0.06362536751573436,0.243,0.812,0.1375618812690987,11.8,6.7,6.7,11.8,12.6,0.0568413391557496,18.917524882665905
Boroondara,21.3,0.013306355675250145,0.116,0.856,0.10444746013763613,4.6,1.8,4.7,4.9,4.7,0.044100653383012,14.590146760697346
Brimbank,19.9,0.04574706250616411,0.148,0.823,0.0815606741482497,11.2,9.8,12.6,8.2,9.3,0.0698442802954681,17.934324931889854
Buloke,15.6,0.10376118717957944,0.091,0.825,0.21934663256236844,13.5,5.8,11.5,9.6,21.2,0.0999999999999999,14.58436247262092
Campaspe,16.2,0.07382902100073765,0.131,0.904,0.1419286136968894,12.6,8.9,8.0,9.6,11.8,0.0646256684491978,19.85616099873848
Cardinia,22.2,0.05298756541962956,0.126,0.849,0.1111162147338959,8.8,6.0,4.5,9.4,7.5,0.0490763052208835,18.48440161462266
Casey,25.4,0.04110244907108014,0.148,0.858,0.09927482874755442,8.3,7.2,8.2,7.7,7.8,0.0600022586959795,17.28873614758351
Central Goldfields,18.7,0.04549356130957571,0.184,0.799,0.23933569210879194,18.9,12.6,13.4,11.5,18.1,0.0557083333333333,26.472328580247567
Colac-Otway,20.5,0.04259391099409048,0.124,0.855,0.12261378292087721,11.1,6.3,7.1,10.7,10.7,0.0768635321100917,21.28671012882279
Corangamite,24.0,0.04715557303234011,0.174,0.75,0.1091301622261527,10.8,6.9,7.4,9.4,12.8,0.0776934749620637,16.732690600041487
Darebin,21.4,0.03222742292609707,0.128,0.87,0.11461496527172349,6.7,5.1,6.7,6.8,6.6,0.0703219480307239,17.42810233483286
East Gippsland,21.5,0.05202519041221448,0.193,0.827,0.15271910733844046,10.9,7.8,7.5,8.8,12.8,0.0821638437608019,22.94023368020825
Frankston,19.4,0.05156757750483671,0.139,0.866,0.12244628812005288,9.1,5.9,6.1,8.4,7.7,0.0619816216730943,17.72855120063416
Gannawarra,20.9,,0.14,0.837,0.15669375667736085,5.2,7.3,4.2,3.1,5.2,0.0600557103064066,14.59083418294011
Glen Eira,21.0,0.0236133687006748,0.112,0.855,0.08609024569155792,6.6,1.7,4.5,5.6,5.0,0.0419176450570018,13.646449726398972
Glenelg,27.7,0.03924056305384617,0.169,0.858,0.15272883047430677,15.9,6.9,13.8,17.5,14.3,0.0650735294117647,19.59776264191792
Golden Plains,19.2,0.04950832688452162,0.101,0.906,0.12463634740207231,5.9,7.6,4.3,6.0,7.6,0.089505068574836,14.042198879009916
Greater Bendigo,24.7,0.04568638107212058,0.155,0.852,0.12135286044714372,9.8,7.9,7.9,10.7,9.3,0.0505018349029491,16.967164872846357
Greater Dandenong,19.5,0.05517459909916901,0.134,0.862,0.07205097238661277,11.1,9.5,13.6,8.7,10.3,0.0557659616525004,18.32994186721845
Greater Geelong,24.7,0.04528445517327418,0.158,0.824,0.1066028200858525,9.6,6.2,7.4,10.4,8.8,0.056908068624153,18.697445662517616
Greater Shepparton,19.5,0.05191344732051254,0.172,0.859,0.1223683100408027,15.4,13.5,15.0,14.5,16.5,0.0510053110773899,21.942539117447662
Hepburn,24.7,0.038958515046945065,0.114,0.876,0.17504088054190023,6.2,6.2,3.1,9.3,13.2,0.1070240295748613,21.710980440877645
Hindmarsh,19.5,,0.08,0.875,,10.9,3.1,4.7,15.6,14.1,0.0983313468414779,18.179368703643224
Hobsons Bay,18.6,0.03672371067326711,0.168,0.846,0.10913950411630677,8.6,6.7,7.7,6.7,10.2,0.0539029994410979,16.669314325107663
Horsham,19.8,0.0520309958097508,0.235,0.802,0.11211971003627748,15.4,8.7,5.8,13.7,11.6,0.0653274280291047,15.179500800700865
Hume,18.9,0.054198251588485964,0.155,0.821,0.09252734705551596,13.4,11.5,13.7,11.3,13.0,0.0577960604382564,19.654068914264
Indigo,19.3,0.035,0.119,0.829,0.1418065493483321,11.3,9.3,10.8,10.8,17.0,0.0628125,15.75129658643591
Kingston,20.4,0.025130832477806262,0.108,0.909,0.08826375238968522,6.9,4.1,5.0,5.3,5.9,0.0642032111190989,15.824373729942954
Knox,23.6,0.03499493007346408,0.12,0.869,0.1267751505112418,6.8,4.4,5.4,7.2,6.4,0.0603012873185428,15.96575818548428
Latrobe,24.1,0.08432004060733432,0.182,0.826,0.12813462138356324,16.5,12.0,13.2,15.1,16.4,0.0721001337664819,20.82803293583353
Loddon,22.6,0.061757,0.196,0.776,0.18999759262880941,9.0,11.9,13.4,9.0,16.4,0.0857497928748964,18.06363616891602
Macedon Ranges,20.3,0.030646552658433135,0.118,0.879,0.09558612775206012,6.7,3.3,3.6,7.1,6.9,0.0506490696668109,20.950550873269613
Manningham,14.7,0.02966045146604733,0.125,0.875,0.10811260838578765,10.1,4.7,7.7,7.5,6.7,0.064746139447824,14.707478281172683
Mansfield,22.1,,0.27,0.72,0.11523344794143096,3.7,2.4,0.0,4.9,6.1,,17.8871596594573
Maribyrnong,20.7,0.031018031778688483,0.109,0.864,0.10828603764760107,7.2,3.3,6.9,6.6,5.6,0.0751457795621833,15.61568567062136
Maroondah,20.5,0.03118528883098885,0.128,0.872,0.11603849117400916,6.1,6.0,5.6,6.7,7.3,0.0527585634441923,15.852576666215496
Melbourne,19.7,0.0240617900506322,0.104,0.905,0.06325583909910357,9.2,5.1,11.0,8.1,7.5,0.0416563275434243,15.42381599722322
Melton,19.6,0.05559279717430035,0.184,0.797,0.10970606958865918,9.2,7.5,6.8,7.6,7.9,0.0612463609130416,17.541007214344326
Mildura,20.9,0.06113552668319285,0.139,0.859,0.11430666776981492,8.7,10.5,8.0,10.6,10.9,0.0710067114093959,21.90040053714008
Mitchell,23.3,0.03710915592065762,0.251,0.669,0.12844481044481154,8.1,7.8,5.1,8.0,6.4,0.0774963609898107,19.739618036303938
Moira,21.5,0.05829850011321059,0.123,0.863,0.12708814781047065,9.2,6.7,8.3,6.9,10.5,0.0678976162563501,18.25411273986521
Monash,14.6,0.032363869869139576,0.13,0.851,0.09598754006406349,7.0,3.5,6.5,6.3,5.9,0.0657242374796033,13.3917545323644
Moonee Valley,16.4,0.017151792917838304,0.123,0.859,0.08583253796371691,7.4,3.6,4.8,6.3,4.7,0.0651783253403891,15.070376835024229
Moorabool,22.8,0.05194341013185202,0.129,0.875,0.10734071974318048,5.5,2.8,2.8,4.7,4.8,0.0506241331484049,17.796013576470102
Moreland,21.8,0.026906568982493148,0.169,0.845,0.08669894449938567,10.2,6.3,8.4,8.6,7.7,0.0695769690112515,21.52909259404106
Mornington Peninsula,20.9,0.04087028811416013,0.176,0.826,0.11991499841574946,8.4,6.4,5.3,7.8,7.8,0.0616047548291233,17.714321555483533
Mount Alexander,24.3,0.048547487417197804,0.147,0.843,0.14178258363275692,15.2,7.3,8.6,14.6,16.6,0.0675903018307768,24.71501864488689
Moyne,15.6,0.04258310614410245,0.113,0.864,0.11821645834726392,6.3,5.3,3.2,5.8,5.8,0.0788265306122449,17.36454738721067
Murrindindi,18.9,,0.184,0.774,0.11169561832985464,6.5,5.7,3.3,7.3,9.8,0.0993171942892613,18.691642978303147
Nillumbik,20.8,0.02670702885097269,0.11,0.895,0.10876116613087411,5.7,1.8,1.3,4.8,4.0,0.0620907079646017,16.20599567332573
Northern Grampians,15.1,0.047004410233295824,0.125,0.888,0.14856751091691214,6.7,8.7,3.8,7.7,4.8,0.0824333561175666,24.810374972017645
Port Phillip,20.9,0.014052420105369034,0.145,0.817,0.11166074690369865,5.3,2.2,3.0,7.3,4.6,0.066643975493533,16.005832084913713
Pyrenees,26.6,0.08714569589851245,0.108,0.842,0.14480600596480353,4.2,8.3,4.2,5.6,12.5,,18.29548416338202
Queenscliffe,23.6,,0.235,0.804,,,,,,,0.0854961832061068,19.03635683833348
South Gippsland,20.3,0.050114208681786065,0.175,0.826,0.11109509616885542,13.6,7.8,8.4,10.9,10.3,0.0733964700817907,18.236871557275347
Southern Grampians,17.1,0.05300988838545903,0.185,0.799,0.16363142547942974,10.8,6.6,7.8,11.4,13.2,0.068001540238737,16.832634960762597
Stonnington,24.2,0.01152463065519071,0.137,0.823,0.08583395988755364,7.3,2.7,5.0,9.4,6.0,0.0630835885560618,11.196705068732625
Strathbogie,22.9,0.06686784343153207,0.193,0.814,0.1440816886969331,7.1,7.1,0.0,6.0,3.6,0.1205026455026455,19.14419148554608
Surf Coast,18.5,0.019880530869824362,0.1,0.862,0.07214708783404,5.5,3.6,2.9,5.9,6.2,0.0697260660830274,19.9655819098552
Swan Hill,17.6,0.081668434847995,0.215,0.801,0.11844213600547195,14.0,7.6,7.1,9.3,9.5,0.0768124280782508,18.86340024629095
Towong,19.7,,0.194,0.735,0.10568462614280658,12.1,6.9,5.2,10.3,12.1,0.0943508424182358,16.28781360429234
Wangaratta,20.4,0.0541379857535465,0.118,0.837,0.11249608175615959,4.3,3.7,2.5,6.5,4.0,0.06816190277488,19.907712881875817
Warrnambool,17.8,0.04452570960120077,0.15,0.873,0.1189627845951508,6.4,8.5,4.7,5.3,6.1,0.091565271189936,19.78873532607462
Wellington,27.7,0.07511159687013665,0.152,0.871,0.12531336425476977,9.3,10.8,7.5,10.3,10.4,0.0751367478866235,19.08796101021056
West Wimmera,21.9,0.138,0.227,0.784,0.19186515939088108,10.0,10.0,10.0,12.5,15.0,0.1272549019607843,17.282585546088033
Whitehorse,16.5,0.022169346521848248,0.104,0.904,0.10590732161050535,5.6,2.7,4.8,5.4,4.6,0.0609273781111489,12.831106614119738
Whittlesea,19.1,0.03825929858993965,0.171,0.829,0.10324824270152648,7.9,6.5,7.7,6.9,8.4,0.0746515490720011,19.05224230532412
Wodonga,23.7,0.05616100200408448,0.16,0.852,0.1398869511375268,9.0,8.0,6.0,11.1,8.2,0.0640705458290422,18.49395179357978
Wyndham,18.9,0.04998700272532284,0.184,0.754,0.10449398422034768,10.3,7.6,9.7,8.1,8.5,0.0627965483999906,18.42124780783045
Yarra,21.3,0.01571169265461862,0.143,0.827,0.08784713691796199,9.9,5.4,6.5,8.9,9.4,0.0849313373747371,18.352821890392345
Yarra Ranges,23.3,0.040445092738200655,0.15,0.852,0.12232621449030223,8.1,6.4,5.6,8.6,7.8,0.0606390434961863,18.200959239924924
Yarriambiack,26.4,,0.154,0.881,0.06988929203808623,9.1,9.1,14.5,9.1,18.2,0.1457399103139013,20.666709458201545
