LGA,Absences
Alpine,17.408808084247816
Ararat,21.425627876662926
Ballarat,18.088397791771246
Banyule,15.000926062295973
Bass Coast,20.727456287303735
Baw Baw,16.525368957194846
Bayside,15.366710600389045
Benalla,18.917524882665905
Boroondara,14.590146760697346
Brimbank,17.934324931889854
Buloke,14.584362472620919
Campaspe,19.856160998738478
Cardinia,18.48440161462266
Casey,17.28873614758351
Central Goldfields,26.472328580247567
Colac-Otway,21.28671012882279
Corangamite,16.732690600041487
Darebin,17.42810233483286
East Gippsland,22.940233680208255
Frankston,17.72855120063416
Gannawarra,14.59083418294011
Glen Eira,13.646449726398973
Glenelg,19.59776264191792
Golden Plains,14.042198879009916
Greater Bendigo,16.967164872846357
Greater Dandenong,18.329941867218455
Greater Geelong,18.697445662517616
Greater Shepparton,21.942539117447662
Hepburn,21.710980440877645
Hindmarsh,18.179368703643224
Hobsons Bay,16.669314325107663
Horsham,15.179500800700863
Hume,19.654068914264002
Indigo,15.75129658643591
Kingston,15.824373729942954
Knox,15.965758185484281
Latrobe,20.82803293583353
Loddon,18.06363616891602
Macedon Ranges,20.950550873269613
Manningham,14.707478281172683
Mansfield,17.8871596594573
Maribyrnong,15.61568567062136
Maroondah,15.852576666215496
Melbourne,15.423815997223219
Melton,17.541007214344326
Mildura,21.90040053714008
Mitchell,19.739618036303938
Moira,18.25411273986521
Monash,13.391754532364399
Moonee Valley,15.070376835024229
Moorabool,17.796013576470102
Moreland,21.52909259404106
Mornington Peninsula,17.714321555483533
Mount Alexander,24.71501864488689
Moyne,17.36454738721067
Murrindindi,18.691642978303147
Nillumbik,16.20599567332573
Northern Grampians,24.810374972017645
Port Phillip,16.005832084913713
Pyrenees,18.29548416338202
Queenscliffe,19.03635683833348
South Gippsland,18.236871557275347
Southern Grampians,16.832634960762597
Stonnington,11.196705068732625
Strathbogie,19.14419148554608
Surf Coast,19.965581909855196
Swan Hill,18.86340024629095
Towong,16.28781360429234
Unincorporated Vic,9.648232064253172
Wangaratta,19.907712881875817
Warrnambool,19.78873532607462
Wellington,19.08796101021056
West Wimmera,17.282585546088033
Whitehorse,12.831106614119738
Whittlesea,19.052242305324118
Wodonga,18.49395179357978
Wyndham,18.42124780783045
Yarra,18.352821890392345
Yarra Ranges,18.200959239924924
Yarriambiack,20.666709458201545
