LGA,Depression Rate
Alpine  ,18.2
Ararat  ,22.8
Ballarat  ,15.6
Banyule  ,23.5
Bass Coast  ,22.4
Baw Baw  ,20.7
Bayside  ,19.6
Benalla  ,18.6
Boroondara  ,21.3
Brimbank  ,19.9
Buloke  ,15.6
Campaspe  ,16.2
Cardinia ,22.2
Casey ,25.4
Central Goldfields   ,18.7
Colac-Otway  ,20.5
Corangamite  ,24
Darebin  ,21.4
East Gippsland  ,21.5
Frankston  ,19.4
Gannawarra  ,20.9
Glen Eira  ,21
Glenelg  ,27.7
Golden Plains  ,19.2
Greater Bendigo  ,24.7
Greater Dandenong  ,19.5
Greater Geelong  ,24.7
Greater Shepparton  ,19.5
Hepburn  ,24.7
Hindmarsh  ,19.5
Hobsons Bay  ,18.6
Horsham  ,19.8
Hume  ,18.9
Indigo  ,19.3
Kingston  ,20.4
Knox  ,23.6
Latrobe  ,24.1
Loddon  ,22.6
Macedon Ranges  ,20.3
Manningham  ,14.7
Mansfield  ,22.1
Maribyrnong  ,20.7
Maroondah  ,20.5
Melbourne  ,19.7
Melton  ,19.6
Mildura  ,20.9
Mitchell  ,23.3
Moira  ,21.5
Monash  ,14.6
Moonee Valley  ,16.4
Moorabool  ,22.8
Moreland  ,21.8
Mornington Peninsula  ,20.9
Mount Alexander   ,24.3
Moyne  ,15.6
Murrindindi  ,18.9
Nillumbik  ,20.8
Northern Grampians  ,15.1
Port Phillip  ,20.9
Pyrenees  ,26.6
Queenscliffe  ,23.6
South Gippsland  ,20.3
Southern Grampians  ,17.1
Stonnington  ,24.2
Strathbogie  ,22.9
Surf Coast  ,18.5
Swan Hill  ,17.6
Towong  ,19.7
Wangaratta  ,20.4
Warrnambool  ,17.8
Wellington  ,27.7
West Wimmera  ,21.9
Whitehorse  ,16.5
Whittlesea  ,19.1
Wodonga  ,23.7
Wyndham  ,18.9
Yarra  ,21.3
Yarra Ranges  ,23.3
Yarriambiack  ,26.4
Victoria,19.9
