LGA,Depression Rate,DHS_Area
Alpine,18.2,Ovens Murray
Ararat,22.8,Central Highlands
Ballarat,15.6,Central Highlands
Banyule,23.5,North Eastern Melbourne
Bass Coast,22.4,Inner Gippsland
Baw Baw,20.7,Inner Gippsland
Bayside,19.6,Bayside Peninsula
Benalla,18.6,Ovens Murray
Boroondara,21.3,Inner Eastern Melbourne
Brimbank,19.9,Brimbank Melton
Buloke,15.6,Mallee
Campaspe,16.2,Loddon
Cardinia,22.2,Southern Melbourne
Casey,25.4,Southern Melbourne
Central Goldfields,18.7,Loddon
Colac-Otway,20.5,Barwon
Corangamite,24.0,Wimmera South West
Darebin,21.4,North Eastern Melbourne
East Gippsland,21.5,Outer Gippsland
Frankston,19.4,Bayside Peninsula
Gannawarra,20.9,Mallee
Glen Eira,21.0,Bayside Peninsula
Glenelg,27.7,Wimmera South West
Golden Plains,19.2,Central Highlands
Greater Bendigo,24.7,Loddon
Greater Dandenong,19.5,Southern Melbourne
Greater Geelong,24.7,Barwon
Greater Shepparton,19.5,Goulburn
Hepburn,24.7,Central Highlands
Hindmarsh,19.5,Wimmera South West
Hobsons Bay,18.6,Western Melbourne
Horsham,19.8,Wimmera South West
Hume,18.9,Hume Moreland
Indigo,19.3,Ovens Murray
Kingston,20.4,Bayside Peninsula
Knox,23.6,Outer Eastern Melbourne
Latrobe,24.1,Inner Gippsland
Loddon,22.6,Loddon
Macedon Ranges,20.3,Loddon
Manningham,14.7,Inner Eastern Melbourne
Mansfield,22.1,Ovens Murray
Maribyrnong,20.7,Western Melbourne
Maroondah,20.5,Outer Eastern Melbourne
Melbourne,19.7,Western Melbourne
Melton,19.6,Brimbank Melton
Mildura,20.9,Mallee
Mitchell,23.3,Goulburn
Moira,21.5,Goulburn
Monash,14.6,Inner Eastern Melbourne
Moonee Valley,16.4,Western Melbourne
Moorabool,22.8,Central Highlands
Moreland,21.8,Hume Moreland
Mornington Peninsula,20.9,Bayside Peninsula
Mount Alexander,24.3,Loddon
Moyne,15.6,Wimmera South West
Murrindindi,18.9,Goulburn
Nillumbik,20.8,North Eastern Melbourne
Northern Grampians,15.1,Wimmera South West
Port Phillip,20.9,Bayside Peninsula
Pyrenees,26.6,Central Highlands
Queenscliffe,23.6,Barwon
South Gippsland,20.3,Inner Gippsland
Southern Grampians,17.1,Wimmera South West
Stonnington,24.2,Bayside Peninsula
Strathbogie,22.9,Goulburn
Surf Coast,18.5,Barwon
Swan Hill,17.6,Mallee
Towong,19.7,Ovens Murray
Wangaratta,20.4,Ovens Murray
Warrnambool,17.8,Wimmera South West
Wellington,27.7,Outer Gippsland
West Wimmera,21.9,Wimmera South West
Whitehorse,16.5,Inner Eastern Melbourne
Whittlesea,19.1,North Eastern Melbourne
Wodonga,23.7,Ovens Murray
Wyndham,18.9,Western Melbourne
Yarra,21.3,North Eastern Melbourne
Yarra Ranges,23.3,Outer Eastern Melbourne
Yarriambiack,26.4,Wimmera South West
