LGA,Kinder_Enrollment
Alpine,1.003616636528029
Ararat,0.88
Ballarat,0.9671572536794026
Banyule,0.9584896526685224
Bass Coast,0.975103734439834
Baw Baw,1.0004872502842295
Bayside,0.9490037149611619
Benalla,0.9500351864883885
Boroondara,0.9677963243972348
Brimbank,0.9615976604586733
Buloke,0.8469055374592835
Campaspe,1.0506912442396312
Cardinia,0.9886968948941147
Casey,0.985906331309627
Central Goldfields,0.9992912827781716
Colac-Otway,1.0694108151735273
Corangamite,1.035393555203381
Darebin,0.8729133010231557
East Gippsland,0.9280885064535956
Frankston,0.9413103560396684
Gannawarra,1.056338028169014
Glen Eira,0.9001465354825205
Glenelg,1.0531697341513295
Golden Plains,1.0186701604978712
Greater Bendigo,0.9972789115646259
Greater Dandenong,0.9586345974128179
Greater Geelong,1.016576513697435
Greater Shepparton,0.9747497725204732
Hepburn,0.9315698677400807
Hindmarsh,0.8633093525179857
Hobsons Bay,0.9298327863728708
Horsham,0.8905660377358491
Hume,0.9728415079043373
Indigo,0.8759124087591241
Kingston,0.9383127015499845
Knox,0.966650292014628
Latrobe,0.9602266764613288
Loddon,0.752823086574655
Macedon Ranges,1.0629531970995387
Manningham,1.0368157455408138
Mansfield,0.8758421559191529
Maribyrnong,0.849684501685539
Maroondah,0.9248672927725603
Melbourne,0.8346616432401103
Melton,1.0125558629495637
Mildura,0.9413803060929831
Mitchell,1.0003467406380029
Moira,0.9842961301177792
Monash,0.9452611509708495
Moonee Valley,0.9175221238938053
Moorabool,0.908895573700043
Moreland,0.895852357379728
Mornington Peninsula,1.045462285033203
Mount Alexander,0.9619565217391305
Moyne,1.0198675496688743
Murrindindi,0.9507042253521126
Nillumbik,1.0259614049701513
Northern Grampians,1.1610878661087867
Port Phillip,0.8209437621202327
Pyrenees,1.2235649546827796
Queenscliffe,1.5527950310559009
South Gippsland,1.0307982401005658
Southern Grampians,0.9938236945536216
Stonnington,0.9087961962394642
Strathbogie,0.9279368213228038
Surf Coast,0.9700815956482322
Swan Hill,1.0025062656641606
Towong,0.940959409594096
Wangaratta,1.0755722797115084
Warrnambool,1.001454898157129
Wellington,1.010551948051948
West Wimmera,1.2048192771084336
Whitehorse,0.9421941365378639
Whittlesea,0.9571327728935378
Wodonga,0.9280080550427925
Wyndham,0.9765703391531207
Yarra,0.869950614157275
Yarra Ranges,0.9476309226932669
Yarriambiack,1.1470113085621974
